"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"devEMF","devEMF","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","4.5",NA,"R (>= 2.10.1)",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"devtools","devtools","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.4.5",NA,"R (>= 3.0.2), usethis (>= 2.1.6)","cli (>= 3.3.0), desc (>= 1.4.1), ellipsis (>= 0.3.2), fs (>=
1.5.2), lifecycle (>= 1.0.1), memoise (>= 2.0.1), miniUI (>=
0.1.1.1), pkgbuild (>= 1.3.1), pkgdown (>= 2.0.6), pkgload (>=
1.3.0), profvis (>= 0.3.7), rcmdcheck (>= 1.4.0), remotes (>=
2.4.2), rlang (>= 1.0.4), roxygen2 (>= 7.2.1), rversions (>=
2.1.1), sessioninfo (>= 1.2.2), stats, testthat (>= 3.1.5),
tools, urlchecker (>= 1.0.1), utils, withr (>= 2.5.0)",NA,"BiocManager (>= 1.30.18), callr (>= 3.7.1), covr (>= 3.5.1),
curl (>= 4.3.2), digest (>= 0.6.29), DT (>= 0.23), foghorn (>=
1.4.2), gh (>= 1.3.0), gmailr (>= 1.0.1), httr (>= 1.4.3),
knitr (>= 1.39), lintr (>= 3.0.0), MASS, mockery (>= 0.4.3),
pingr (>= 2.0.1), rhub (>= 1.1.1), rmarkdown (>= 2.14),
rstudioapi (>= 0.13), spelling (>= 2.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"diagram","diagram","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.6.5",NA,"R (>= 2.01), shape","stats, graphics",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"diffobj","diffobj","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.3.5",NA,"R (>= 3.1.0)","crayon (>= 1.3.2), tools, methods, utils, stats",NA,"knitr, rmarkdown",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"digest","digest","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.6.37",NA,"R (>= 3.3.0)","utils",NA,"tinytest, simplermarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"distill","distill","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.6",NA,NA,"base64enc, bookdown (>= 0.8), digest, downlit (>= 0.4.1),
htmltools, jsonlite (>= 1.3), knitr (>= 1.15.6), lubridate (>=
1.7.10), mime, openssl, png, rmarkdown (>= 2.11), rprojroot,
rstudioapi, stats, stringr, tools, utils, whisker, xfun (>=
0.18), xml2, yaml",NA,"covr, DiagrammeR, htmlwidgets, progress, r2d3, rsconnect,
shiny, testthat (>= 3.0.0), withr",NA,"Apache License 2.0",NA,NA,NA,NA,"no","4.4.0"
"distributional","distributional","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.4.0",NA,NA,"vctrs (>= 0.3.0), rlang (>= 0.4.5), generics, stats, numDeriv,
utils, lifecycle",NA,"testthat (>= 2.1.0), covr, mvtnorm, actuar (>= 2.0.0),
ggdist, ggplot2",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"doBy","doBy","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","4.6.22",NA,"R (>= 4.2.0), methods","boot, broom, cowplot, Deriv, dplyr, ggplot2, MASS, Matrix,
modelr, microbenchmark, rlang, tibble, tidyr,",NA,"geepack, knitr, lme4, markdown, multcomp, pbkrtest (>=
0.4-8.1), survival, testthat (>= 2.1.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"doRNG","doRNG","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.8.6",NA,"R (>= 3.0.0), foreach, rngtools (>= 1.5)","stats, utils, iterators",NA,"doParallel, doMPI, doRedis, rbenchmark, devtools, knitr,
rbibutils (>= 1.3), testthat, pkgmaker (>= 0.32.7), covr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"dotwhisker","dotwhisker","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.8.2",NA,"R (>= 3.2.0), ggplot2 (>= 2.2.1),","grid, gtable, gridExtra, stats, parameters, performance,
patchwork, dplyr, stringr, ggstance, rlang, purrr",NA,"ordinal, tibble, knitr, rmarkdown, broom",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"downlit","downlit","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.4.4",NA,"R (>= 4.0.0)","brio, desc, digest, evaluate, fansi, memoise, rlang, vctrs,
withr, yaml",NA,"covr, htmltools, jsonlite, MASS, MassSpecWavelet, pkgload,
rmarkdown, testthat (>= 3.0.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"dplyr","dplyr","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.1.4",NA,"R (>= 3.5.0)","cli (>= 3.4.0), generics, glue (>= 1.3.2), lifecycle (>=
1.0.3), magrittr (>= 1.5), methods, pillar (>= 1.9.0), R6,
rlang (>= 1.1.0), tibble (>= 3.2.0), tidyselect (>= 1.2.0),
utils, vctrs (>= 0.6.4)",NA,"bench, broom, callr, covr, DBI, dbplyr (>= 2.2.1), ggplot2,
knitr, Lahman, lobstr, microbenchmark, nycflights13, purrr,
rmarkdown, RMySQL, RPostgreSQL, RSQLite, stringi (>= 1.7.6),
testthat (>= 3.1.5), tidyr (>= 1.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"DT","DT","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.33",NA,NA,"htmltools (>= 0.3.6), htmlwidgets (>= 1.3), httpuv, jsonlite
(>= 0.9.16), magrittr, crosstalk, jquerylib, promises",NA,"knitr (>= 1.8), rmarkdown, shiny (>= 1.6), bslib, future,
testit, tibble",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"dtplyr","dtplyr","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.3.1",NA,"R (>= 3.3)","cli (>= 3.4.0), data.table (>= 1.13.0), dplyr (>= 1.1.0),
glue, lifecycle, rlang (>= 1.0.4), tibble, tidyselect (>=
1.2.0), vctrs (>= 0.4.1)",NA,"bench, covr, knitr, rmarkdown, testthat (>= 3.1.2), tidyr (>=
1.1.0), waldo (>= 0.3.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"dygraphs","dygraphs","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.1.1.6",NA,"R (>= 3.0)","magrittr, htmlwidgets (>= 0.6), htmltools (>= 0.3.5), zoo (>=
1.7-10), xts (>= 0.9-7)",NA,"testthat","rmarkdown (>= 0.3.3), shiny (>= 0.10.2.1)","MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"dynlm","dynlm","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.3-6",NA,"R (>= 2.10.0), zoo","stats, car (>= 2.0-0), lmtest",NA,"datasets, sandwich, strucchange, TSA",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.4.0"
"e1071","e1071","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.7-14",NA,NA,"graphics, grDevices, class, stats, methods, utils, proxy",NA,"cluster, mlbench, nnet, randomForest, rpart, SparseM, xtable,
Matrix, MASS, slam",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"effects","effects","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","4.2-2",NA,"R (>= 3.5.0), carData","lme4, nnet, lattice, grid, colorspace, graphics, grDevices,
stats, survey, utils, estimability, insight",NA,"pbkrtest (>= 0.4-4), nlme, MASS, poLCA, heplots, splines,
ordinal, car, knitr, betareg, alr4, robustlmm",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"effectsize","effectsize","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.8.9",NA,"R (>= 3.6)","bayestestR (>= 0.13.2), insight (>= 0.20.1), parameters (>=
0.22.0), performance (>= 0.12.0), datawizard (>= 0.11.0),
stats, utils",NA,"correlation (>= 0.8.4), see (>= 0.8.0), afex, BayesFactor,
boot, brms, car, emmeans, gt, knitr, lavaan, lme4, lmerTest,
mgcv, parsnip, pwr, rmarkdown, rms, rstanarm, rstantools,
testthat (>= 3.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"ellipsis","ellipsis","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.3.2",NA,"R (>= 3.2)","rlang (>= 0.3.0)",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"emmeans","emmeans","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.10.4",NA,"R (>= 4.1.0)","estimability (>= 1.4.1), graphics, methods, numDeriv, stats,
utils, mvtnorm",NA,"bayesplot, bayestestR, biglm, brms, car, coda (>= 0.17),
compositions, ggplot2, lattice, logspline, mediation, mgcv,
multcomp, multcompView, nlme, ordinal (>= 2014.11-12), pbkrtest
(>= 0.4-1), lme4, lmerTest (>= 2.0.32), MASS, MuMIn, rsm,
knitr, rmarkdown, sandwich, scales, splines, testthat, tibble,
xtable (>= 1.8-2)","CARBayes, coxme, gee, geepack, MCMCglmm, MCMCpack, mice,
nnet, pscl, rstanarm, sommer, survival","GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.4.1"
"estimability","estimability","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.5.1",NA,"stats, R(>= 4.1.0)",NA,NA,"knitr, rmarkdown",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.4.0"
"evaluate","evaluate","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.24.0",NA,"R (>= 4.0.0)","methods",NA,"covr, ggplot2, lattice, rlang, testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"expsmooth","expsmooth","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.3",NA,"R (>= 2.0.0), forecast",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"extraDistr","extraDistr","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.10.0",NA,"R (>= 3.1.0)","Rcpp","Rcpp","testthat, LaplacesDemon, VGAM, evd, skellam, triangle, actuar",NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.0"
"fansi","fansi","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0.6",NA,"R (>= 3.1.0)","grDevices, utils",NA,"unitizer, knitr, rmarkdown",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"farver","farver","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.1.2",NA,NA,NA,NA,"covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"fastmap","fastmap","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.2.0",NA,NA,NA,NA,"testthat (>= 2.1.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"filehash","filehash","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.4-6",NA,"R (>= 3.0.0)","digest, methods",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"fma","fma","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.5",NA,"R (>= 2.10), forecast (>= 8.1)",NA,NA,"knitr, rmarkdown, ggplot2, dplyr",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"fontawesome","fontawesome","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.5.2",NA,"R (>= 3.3.0)","rlang (>= 1.0.6), htmltools (>= 0.5.1.1)",NA,"covr, dplyr (>= 1.0.8), knitr (>= 1.31), testthat (>= 3.0.0),
rsvg",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"forcats","forcats","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0.0",NA,"R (>= 3.4)","cli (>= 3.4.0), glue, lifecycle, magrittr, rlang (>= 1.0.0),
tibble",NA,"covr, dplyr, ggplot2, knitr, readr, rmarkdown, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"foreach","foreach","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.5.2",NA,"R (>= 2.5.0)","codetools, utils, iterators",NA,"randomForest, doMC, doParallel, testthat, knitr, rmarkdown",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.4.0"
"forecast","forecast","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","8.23.0",NA,"R (>= 3.5.0),","colorspace, fracdiff, generics (>= 0.1.2), ggplot2 (>= 2.2.1),
graphics, lmtest, magrittr, nnet, parallel, Rcpp (>= 0.11.0),
stats, timeDate, tseries, urca, withr, zoo","Rcpp (>= 0.11.0), RcppArmadillo (>= 0.2.35)","forecTheta, knitr, methods, rmarkdown, rticles, scales,
seasonal, testthat (>= 3.0.0), uroot",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"foreign","foreign","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.8-86","recommended","R (>= 4.0.0)","methods, utils, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"formatR","formatR","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.14",NA,"R (>= 3.2.3)",NA,NA,"rstudioapi, shiny, testit, rmarkdown, knitr",NA,"GPL",NA,NA,NA,NA,"no","4.4.0"
"Formula","Formula","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.2-5",NA,"R (>= 2.0.0), stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.4.0"
"fpp2","fpp2","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.5",NA,"R (>= 2.10)","cli (>= 1.0.0), crayon (>= 1.3.4), expsmooth, fma, forecast
(>= 8.3), ggplot2, magrittr (>= 1.5), purrr (>= 0.2.4),
rstudioapi (>= 0.7)",NA,"GGally,gridExtra,Mcomp,seasonal,vars",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"fracdiff","fracdiff","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.5-3",NA,NA,"stats",NA,"longmemo, forecast, urca",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"fs","fs","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.6.4",NA,"R (>= 3.6)","methods",NA,"covr, crayon, knitr, pillar (>= 1.0.0), rmarkdown, spelling,
testthat (>= 3.0.0), tibble (>= 1.1.0), vctrs (>= 0.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"future","future","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.34.0",NA,NA,"digest, globals (>= 0.16.1), listenv (>= 0.8.0), parallel,
parallelly (>= 1.38.0), utils",NA,"methods, RhpcBLASctl, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.4.0"
"future.apply","future.apply","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.11.2",NA,"R (>= 3.2.0), future (>= 1.28.0)","globals (>= 0.16.1), parallel, utils",NA,"datasets, stats, tools, listenv (>= 0.8.0), R.rsp, markdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"gapminder","gapminder","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0.0",NA,"R (>= 3.1.0)","tibble",NA,"dplyr, ggplot2, knitr, rmarkdown, testthat (>= 3.0.0)",NA,"CC0",NA,NA,NA,NA,"no","4.4.0"
"gargle","gargle","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.5.2",NA,"R (>= 3.6)","cli (>= 3.0.1), fs (>= 1.3.1), glue (>= 1.3.0), httr (>=
1.4.5), jsonlite, lifecycle, openssl, rappdirs, rlang (>=
1.1.0), stats, utils, withr",NA,"aws.ec2metadata, aws.signature, covr, httpuv, knitr,
rmarkdown, sodium, spelling, testthat (>= 3.1.7)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"gbm","gbm","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.2.2",NA,"R (>= 2.9.0)","lattice, parallel, survival",NA,"covr, gridExtra, knitr, pdp, RUnit, splines, tinytest, vip,
viridis",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"generics","generics","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.1.3",NA,"R (>= 3.2)","methods",NA,"covr, pkgload, testthat (>= 3.0.0), tibble, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"geojsonsf","geojsonsf","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.0.3",NA,"R (>= 3.3.0)","Rcpp","geometries, jsonify (>= 1.1.1), rapidjsonr (>= 1.2.0), Rcpp,
sfheaders (>= 0.2.2)","covr, jsonify, knitr, rmarkdown, tinytest",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"geometries","geometries","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.2.4",NA,NA,"Rcpp (>= 1.0.10)","Rcpp","covr, knitr, rmarkdown, tinytest",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"gert","gert","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.1.1",NA,NA,"askpass, credentials (>= 1.2.1), openssl (>= 2.0.3),
rstudioapi (>= 0.11), sys, zip (>= 2.1.0)",NA,"spelling, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"ggcorrplot","ggcorrplot","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.1.4.1",NA,"R (>= 3.3), ggplot2 (>= 3.3.6)","reshape2, stats",NA,"testthat (>= 3.0.0), knitr, spelling, vdiffr (>= 1.0.0)",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.0"
"ggeffects","ggeffects","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.7.1",NA,"R (>= 3.6)","graphics, insight (>= 0.19.8), stats, utils",NA,"AER, aod, bayestestR, betareg, brglm2, brms, broom, car,
carData, clubSandwich, datawizard (>= 0.9.0), effects (>=
4.2-2), emmeans (>= 1.8.9), fixest, gam, gamlss, gamm4, gee,
geepack, ggplot2, ggrepel, GLMMadaptive, glmmTMB (>= 1.1.7),
gridExtra, gt, haven, htmltools, httr, jsonlite, knitr, lme4
(>= 1.1-35), logistf, marginaleffects (>= 0.19.0), MASS,
Matrix, mice, MCMCglmm, mgcv, nestedLogit (>= 0.3.0), nlme,
nnet, ordinal, parameters, parsnip, patchwork, pscl, quantreg,
rmarkdown, rms, robustbase, rstanarm, rstantools, sandwich,
sdmTMB (>= 0.4.0), see, sjlabelled (>= 1.1.2), sjstats, survey,
survival, testthat, tibble, tinytable (>= 0.1.0), vdiffr,
withr, VGAM",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"ggfortify","ggfortify","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.4.17",NA,"methods, ggplot2 (>= 2.0.0)","dplyr (>= 0.3), tidyr, gridExtra, grid, scales, stringr,
tibble",NA,"testthat, cluster, changepoint, fGarch, forecast, ggrepel,
glmnet, grDevices, KFAS, knitr, lintr, mapdata, markdown, MASS,
MSwM, nlme, raster, ROCR, sp, stats, strucchange, survival,
timeSeries, tseries, utils, vars, xts, zoo, lfda",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"gghighlight","gghighlight","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.4.1",NA,"ggplot2 (>= 3.3.6), R (>= 3.4.0)","dplyr (>= 1.0.4), ggrepel, lifecycle, purrr, rlang, tibble",NA,"geomtextpath, knitr, rmarkdown, sf, testthat, vdiffr (>=
0.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"ggmap","ggmap","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","4.0.0",NA,"R (>= 3.1.0), ggplot2 (>= 2.2.0)","png, plyr, jpeg, digest, scales, dplyr, bitops, grid, glue,
httr, stringr, purrr, magrittr, tibble, tidyr, rlang, cli",NA,"MASS, hexbin, testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.0"
"ggplot2","ggplot2","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","3.5.1",NA,"R (>= 3.5)","cli, glue, grDevices, grid, gtable (>= 0.1.1), isoband,
lifecycle (> 1.0.1), MASS, mgcv, rlang (>= 1.1.0), scales (>=
1.3.0), stats, tibble, vctrs (>= 0.6.0), withr (>= 2.5.0)",NA,"covr, dplyr, ggplot2movies, hexbin, Hmisc, knitr, mapproj,
maps, multcomp, munsell, nlme, profvis, quantreg, ragg (>=
1.2.6), RColorBrewer, rmarkdown, rpart, sf (>= 0.7-3), svglite
(>= 2.1.2), testthat (>= 3.1.2), vdiffr (>= 1.0.6), xml2","sp","MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"ggrepel","ggrepel","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.9.5",NA,"R (>= 3.0.0), ggplot2 (>= 2.2.0)","grid, Rcpp, rlang (>= 0.3.0), scales (>= 0.5.0), withr (>=
2.5.0)","Rcpp","knitr, rmarkdown, testthat, svglite, vdiffr, gridExtra, ggpp,
patchwork, devtools, prettydoc, ggbeeswarm, dplyr, magrittr,
readr, stringr",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"ggridges","ggridges","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.5.6",NA,"R (>= 3.2)","ggplot2 (>= 3.4.0), grid (>= 3.0.0), scales (>= 0.4.1), withr
(>= 2.1.1)",NA,"covr, dplyr, patchwork, ggplot2movies, forcats, knitr,
rmarkdown, testthat, vdiffr",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"ggspatial","ggspatial","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.1.9",NA,"R (>= 2.10)","sf, ggplot2 (>= 3.0.0), rosm (>= 0.2), abind, methods, tibble,
scales, tidyr, rlang, grid, glue",NA,"prettymapr, knitr, rmarkdown, sp, raster, terra, testthat (>=
3.0.0), dplyr, withr, ggrepel, stars, covr, vdiffr, lwgeom",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"ggstance","ggstance","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.3.7",NA,"R (>= 3.6.0)","cli (>= 3.4.1), ggplot2 (>= 3.4.0), plyr, rlang, withr (>=
2.0.0)",NA,"covr, Hmisc, quantreg, testthat, vdiffr (>= 1.0.4)",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"ggthemes","ggthemes","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","5.1.0",NA,"R (>= 3.3.0)","ggplot2 (>= 3.0.0), graphics, grid, lifecycle, methods, purrr,
scales, stringr, tibble",NA,"dplyr, covr, extrafont, glue, knitr, lattice, lintr, maps,
mapproj, pander, quantreg, rlang, rmarkdown, spelling, testthat
(>= 3.2.0), tidyr, vdiffr, withr",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.0"
"gh","gh","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.4.1",NA,"R (>= 3.6)","cli (>= 3.0.1), gitcreds, glue, httr2, ini, jsonlite,
lifecycle, rlang (>= 1.0.0)",NA,"covr, knitr, mockery, rmarkdown, rprojroot, spelling,
testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"gifski","gifski","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.12.0-2",NA,NA,NA,NA,"ggplot2, gapminder",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"gitcreds","gitcreds","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.1.2",NA,"R (>= 3.4)",NA,NA,"codetools, covr, knitr, mockery, oskeyring, rmarkdown,
testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"glmnet","glmnet","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","4.1-8",NA,"R (>= 3.6.0), Matrix (>= 1.0-6)","methods, utils, foreach, shape, survival, Rcpp","RcppEigen, Rcpp","knitr, lars, testthat, xfun, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.0"
"globals","globals","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.16.3",NA,"R (>= 3.1.2)","codetools",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.4.0"
"glue","glue","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.7.0",NA,"R (>= 3.6)","methods",NA,"crayon, DBI (>= 1.2.0), dplyr, knitr, magrittr, rlang,
rmarkdown, RSQLite, testthat (>= 3.2.0), vctrs (>= 0.3.0),
waldo (>= 0.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"googledrive","googledrive","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.1.1",NA,"R (>= 3.6)","cli (>= 3.0.0), gargle (>= 1.5.0), glue (>= 1.4.2), httr,
jsonlite, lifecycle, magrittr, pillar (>= 1.9.0), purrr (>=
1.0.1), rlang (>= 1.0.2), tibble (>= 2.0.0), utils, uuid, vctrs
(>= 0.3.0), withr",NA,"curl, dplyr (>= 1.0.0), knitr, mockr, rmarkdown, spelling,
testthat (>= 3.1.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"googlesheets4","googlesheets4","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.1.1",NA,"R (>= 3.6)","cellranger, cli (>= 3.0.0), curl, gargle (>= 1.5.0), glue (>=
1.3.0), googledrive (>= 2.1.0), httr, ids, lifecycle, magrittr,
methods, purrr, rematch2, rlang (>= 1.0.2), tibble (>= 2.1.1),
utils, vctrs (>= 0.2.3), withr",NA,"readr, rmarkdown, spelling, testthat (>= 3.1.7)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"gower","gower","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0.1",NA,NA,NA,NA,"tinytest (>= 0.9.3),",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"graphics","graphics","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","4.4.1","base",NA,"grDevices",NA,NA,"vcd","Part of R 4.4.1",NA,NA,NA,NA,"yes","4.4.1"
"grDevices","grDevices","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","4.4.1","base",NA,NA,NA,"KernSmooth",NA,"Part of R 4.4.1",NA,NA,NA,NA,"yes","4.4.1"
